IMG_ID,CLUSTER_ID_0,CLUSTER_ID_1,CLUSTER_ID_2,CLUSTER_ID_3,CLUSTER_ID_4,CLUSTER_ID_5,CLUSTER_ID_6,CLUSTER_ID_7,CLUSTER_ID_8,CLUSTER_ID_9,CLUSTER_ID_10,CLUSTER_ID_11,CLUSTER_ID_12,CLUSTER_ID_13,CLUSTER_ID_14,CLUSTER_ID_15,CLUSTER_ID_16,CLUSTER_ID_17,CLUSTER_ID_18,CLUSTER_ID_19
33,-0.35308879078151206,-0.25682431072523687,1.6228889813217118,0.5159567208555038,-0.4865245800018107,-0.49897764455947474,-0.23047092762712565,-0.2948420558774342,-0.4699463351492469,-0.7616673938697709,-0.26417207800187165,3.1664161466329928,0.46157447350417696,-0.11473245500884742,-0.1768817440351972,-0.22563930760064282,0.2135659977799013,0.15056617044709059,-0.012647205530838729,-0.13312712043773786
34,0.9131866788099623,2.9454052819852143,1.3595541005057918,0.2879599374460898,0.5845149613086115,0.6414992391237556,2.8941769048698602,0.9945546899422489,1.123527702545766,0.4253379175019583,0.9764290166973535,-0.14207497506510436,0.3486890286069431,1.9165450264219086,1.377936207368966,1.1400610599462777,0.5582197090503024,0.39618798194316024,1.199905387169411,0.6704996590116723
35,-0.6225091034605492,-0.11938956425697718,-0.08878774398176781,0.4247580074917382,-0.31126356415101436,-0.19485047557728,0.03695388686585966,-0.008309445695282377,-0.3157391702110198,-0.32077970678884293,-0.5173559748792645,0.0860968264313161,-0.5543945305709275,-0.21890053097965542,-0.1768817440351972,-0.19718721661008198,-0.66132419236804,-0.2178665467970139,-0.18184059055878055,0.1629459035699396
36,-0.4339148845852232,-0.65538507548319,-0.8787923864295276,-0.5784278395096835,-0.6617855958526071,-0.49897764455947474,-0.6667956249577859,-0.1515757507863583,-0.778360665025701,-0.4903518941276614,-0.26417207800187165,1.303013101078892,-0.5543945305709275,-0.6702955268531567,-0.8270783418951201,-0.48170812651569045,-0.740859664199671,-0.9956689498679011,-0.9714097206891757,-1.1905307776080145
37,0.0510416782370436,-0.25682431072523687,0.7889951920712986,1.2911457844475114,0.29241326822395086,0.5274515507554326,-0.2586209081000715,0.2782231644868694,0.09547993629091901,0.5949101048407768,0.16624054668969623,1.873442604819943,0.8848948918688038,0.12832638892303788,0.27542893273692304,0.8839922410312301,1.1149680118717196,-0.09505564104897907,0.6077285395716147,0.416722781290806
38,-0.32614675951360833,-0.4080025318403226,-0.4837900652056477,-0.3504310561002695,-0.3696839027679465,-0.30889816394560304,-0.4275207909377464,-0.35214857791386456,-0.29003797605464865,-0.6938385189342435,-0.26417207800187165,0.3142686279277366,-0.10285275098199219,-0.04528707102830876,-0.28995941322822727,0.4572108761728174,-0.15759953743437682,-0.38161442112772703,-0.21003948806343753,-0.13312712043773786
39,-0.4608569158531269,-0.5179503290149303,-0.5715683588109544,0.10556251071855859,-0.2723166717397263,-0.23286637170005434,-0.6104956640118943,0.16361012041400871,-0.49564752930561806,-0.4903518941276614,-0.49203758519152524,-0.7505331123888923,0.5462385571771023,-0.20153918498452075,-0.6857312554038325,0.14423787527664814,-0.025040417714991776,0.3143140447778037,-0.6330229506332921,-0.38690399815860427
40,-0.5147409783889343,-0.4904633797212784,0.1306579900314988,-0.48722912614591785,-0.5254714724130988,-0.3469140600683774,-0.46974576164716514,-0.266188794859219,-0.4699463351492469,-0.5920952065309525,-0.49203758519152524,-0.44630404372699833,-0.2721809183278429,-0.5314047588920794,-0.6291924208073174,-0.5101602175062513,-0.31667048109763885,-0.38161442112772703,-0.5202273606146642,-0.21771941301136
41,-0.16449457190618608,-0.28431126001888885,-1.2737947076534075,-0.9432226929647459,-0.2723166717397263,-0.6510412290505722,-0.45567077141069223,-0.49541488300494047,-0.2129343935855351,-0.5920952065309525,-0.2135352986263931,-1.2068767153817332,-0.4132877244493852,-0.6008501428726181,-0.8270783418951201,-0.7946811274118597,-0.66132419236804,-1.1594168241986142,-0.8868130281752048,-0.9367538998871481
42,-0.5686250409247418,-0.3805155825466706,-0.659346652416261,0.2879599374460898,-0.5449449186187428,-0.6510412290505722,-0.5823456835389484,-0.6959877101324468,-0.6498546942438451,-0.8294962688052983,-0.5426743645670038,0.6945549637551041,-0.3004022795521514,-0.5834887968774833,-0.7422700900003475,-0.8515853093929814,-0.6348123684241629,-0.6272362326237967,-0.9432108231845188,-0.894457753600337
43,-0.2722626969778009,-0.5454372783085822,-0.659346652416261,-1.0344214063285115,-0.6033652572356749,-1.06921608640109,-0.6104956640118943,-0.6386811880960164,-0.5213487234619892,-0.6938385189342435,-0.3654456367528288,-0.9026476467198392,-0.32862364077645984,-0.5487661048872141,-0.71400067270209,-0.7093248544401772,-0.581788720536409,-0.9547319812852229,-0.4356306681006933,-0.7252731684530928
44,0.8054185537383475,0.3891189976755837,0.6134386048606854,2.795924554949644,1.441346594356949,2.010071499543632,1.0362781936554364,0.6507155577236667,0.8151133726693119,1.7480009787447424,0.34346927450387127,0.3142686279277366,0.8002308081958784,0.12832638892303788,1.2365891208776785,0.14423787527664814,0.16054234989214727,2.279288536746361,1.4818943622159806,2.320049364197304
45,-0.730277228532164,-0.5454372783085822,-1.0104598268374876,-0.9432226929647459,-0.622838703441319,-0.8411207096644439,-0.5682706933024755,-0.20888227282278865,-0.41854394683650453,-0.8294962688052983,-0.7199030923811789,-0.9026476467198392,-0.6672799754681613,-0.5140434128969448,-0.6574618381055749,0.17268996626720898,-0.23713500926600783,-0.5453622954584402,-0.5484262581193211,-0.9790500461739591
46,0.9131866788099623,3.179044350981256,-0.13267689078442113,2.2943316314489333,7.147066332610653,2.42824635689415,1.6555777640602445,0.19226338143222388,2.434288604520696,3.1384929149230536,0.495379612630307,-1.0547621810507863,1.13888714288758,0.7012508067624819,1.6888997976497988,-0.567064399487373,0.6112433569380564,3.302712751313318,1.6792866447485795,2.404641656770926
47,-0.24532066570989722,-0.3255416839593667,-0.5715683588109544,-0.16803362937273825,-0.42810424138487857,-0.6510412290505722,-0.047496054552977805,-0.38080183893207975,-0.4442451409928757,-0.6599240814664799,-0.466719195503786,-0.8265903795543658,-0.10285275098199219,-0.3230686069504634,-0.31822883052648476,-0.7946811274118597,-0.1310877134904998,-0.6272362326237967,-0.3792328730913793,-0.7675693147399039
48,0.45517214725559924,0.1279929793858903,0.437882017650072,0.6071554342192694,0.42872739166345913,-0.4609617484367004,-0.3008458788094902,0.13495685939579352,0.01837635382180548,-0.422523019192134,0.2421957157529141,2.02555713915089,0.715566724522953,-0.16681649299425141,-0.2616899959299698,0.25804623923889153,0.39914876538704036,-0.2588035153796922,-0.21003948806343753,-0.17542326672454892
